artifact_id,claim_id,description,analysis_profile,source_pipeline,public_target,path,table_filter,figure_destination,validation_status
revision_unique_spatial,reciprocal_controls,Unique adjusted R2 fractions for controlled spatial H1,spd_spatial_control,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_unique_spatial,Outputs/Tables/Diagnostics/Spatiotemporal_dependence/spd__human_climate_space__unique_adjusted_r2__space_control.csv,complete unique fractions,,registered
revision_unique_temporal,reciprocal_controls,Unique adjusted R2 fractions for controlled temporal H1,spd_events_spatial_control,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_unique_temporal,Outputs/Tables/Diagnostics/Spatiotemporal_dependence/spd_events__human_climate_space__unique_adjusted_r2__space_control.csv,SPD predictor and estimable rows,,registered
revision_pap_collinearity,pap_collinearity,PAP correlation and HVarPart influence summary,pap_collinearity,91_sensitivity_analyses/pap_collinearity/pipeline.R,file_pap_collinearity_summary,Outputs/Tables/H1/Spatial/SPD/Predictor_collinearity/spd__pap_collinearity__hvarpart_influence__summary.csv,all PAP pairs and influence summaries,,registered
revision_pap_reduced,pap_collinearity,Reduced-PAP response sensitivity,pap_collinearity,91_sensitivity_analyses/pap_collinearity/pipeline.R,file_pap_reduced_predictors,Outputs/Tables/H1/Spatial/SPD/Predictor_collinearity/spd__human_climate_balance__reduced_predictors.csv,all reduced-response profiles,,registered
revision_moran_spatial,reciprocal_controls,Spatial residual Moran diagnostics,spd_spatiotemporal_balance,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_moran_spatial,Outputs/Tables/Diagnostics/Spatiotemporal_dependence/spd__human_climate_balance__moran_diagnostics__time_and_space_control.csv,estimable records,,registered
revision_moran_temporal,reciprocal_controls,Temporal residual Moran diagnostics,spd_events_spatial_control,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_moran_temporal,Outputs/Tables/Diagnostics/Spatiotemporal_dependence/spd_events__human_climate_time__residual_moran__time_control.csv,SPD predictor and estimable series,,registered
revision_thinning,reciprocal_controls,Spatial thinning replicate diagnostics,spd_spatiotemporal_balance,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_thinning,Outputs/Tables/Diagnostics/Spatiotemporal_dependence/spd__human_climate_balance__thinning__time_and_space_control.csv.gz,all 250 and 500 km replicates,,registered
revision_spd_radius_spatial,spd_radius,Matched strict-radius spatial comparison,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,file_spd_radius_spatial,Outputs/Tables/H1/Spatial/SPD/spd__radius_comparison__dataset_paired.csv,paired records only,,registered
revision_spd_radius_temporal,spd_radius,Matched strict-radius temporal comparison,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,file_spd_radius_temporal,Outputs/Tables/H1/Temporal/HVarPart/spd__radius_comparison__region_age_paired.csv,paired region-age rows only,,registered
revision_event_spatial,event_sensitivity,Matched spatial SPD versus event comparison,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,file_event_spatial,Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__dataset_matched.csv,matched records only,,registered
revision_event_temporal,event_sensitivity,Matched temporal SPD versus event comparison,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,file_event_temporal,Outputs/Tables/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__region_age_matched.csv,matched region-age rows only,,registered
revision_pollen_coverage,pollen_coverage,Pollen site and sample coverage,pollen_coverage,01_data_preparation/11_figures/pipeline.R,file_pollen_coverage,Outputs/Figures/Data/pollen__dataset_coverage.png,not_applicable,figures/supplementary-figure-02-pollen-coverage.png,registered
revision_human_coverage,human_coverage,Human proxy coverage,human_coverage,01_data_preparation/11_figures/pipeline.R,file_human_coverage,Outputs/Figures/Data/human_impact__data_coverage.png,not_applicable,figures/supplementary-figure-03-human-coverage.png,registered
revision_event_coverage,event_coverage,Regional human-event chronology coverage,event_coverage,01_data_preparation/11_figures/pipeline.R,file_event_coverage,Outputs/Figures/Data/events__dataset_coverage.png,not_applicable,figures/supplementary-figure-04-event-coverage.png,registered
revision_record_examples,record_examples,Updated record-level examples,predictor_temporal,03_temporal_models/07_figures/pipeline.R,file_record_examples,Outputs/Figures/H1/Temporal/Predictor_trends/datasets__temporal_trends__two_examples.png,not_applicable,figures/supplementary-figure-05-record-examples.png,registered
revision_pap_primary,pap_trajectories,Overview of PAP temporal trajectories,pap_temporal,05_visualisations/h1/temporal/pap_trends.R,not_applicable,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trends__primary.png,not_applicable,figures/figure-02-pap-trajectories.png,registered
revision_pap_n0,pap_trajectories,N0 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_n0,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__n0.png,not_applicable,figures/supplementary-figure-06-pap-n0.png,registered
revision_pap_n1,pap_trajectories,N1 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_n1,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__n1.png,not_applicable,figures/supplementary-figure-07-pap-n1.png,registered
revision_pap_n2,pap_trajectories,N2 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_n2,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__n2.png,not_applicable,figures/supplementary-figure-08-pap-n2.png,registered
revision_pap_n1_n2,pap_trajectories,N1 minus N2 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_n1_n2,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__n1_minus_n2.png,not_applicable,figures/supplementary-figure-09-pap-n1-minus-n2.png,registered
revision_pap_n2_n1,pap_trajectories,N2 divided by N1 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_n2_n1,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__n2_divided_by_n1.png,not_applicable,figures/supplementary-figure-10-pap-n2-n1.png,registered
revision_pap_n1_n0,pap_trajectories,N1 divided by N0 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_n1_n0,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__n1_divided_by_n0.png,not_applicable,figures/supplementary-figure-11-pap-n1-n0.png,registered
revision_pap_roc,pap_trajectories,Rate-of-change PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_roc,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__roc.png,not_applicable,figures/supplementary-figure-12-pap-roc.png,registered
revision_pap_dcca,pap_trajectories,DCCA axis 1 PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_dcca,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__dcca_axis_1.png,not_applicable,figures/supplementary-figure-13-pap-dcca.png,registered
revision_pap_density_diversity,pap_trajectories,Density-diversity PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_density_diversity,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__density_diversity.png,not_applicable,figures/supplementary-figure-14-pap-density-diversity.png,registered
revision_pap_density_turnover,pap_trajectories,Density-turnover PAP trajectory,pap_temporal,03_temporal_models/07_figures/pipeline.R,file_pap_density_turnover,Outputs/Figures/H1/Temporal/PAP_trends/pap__temporal_trend__density_turnover.png,not_applicable,figures/supplementary-figure-15-pap-density-turnover.png,registered
revision_predictor_spd,predictor_trajectories,SPD temporal trajectory,predictor_temporal,03_temporal_models/07_figures/pipeline.R,file_predictor_spd,Outputs/Figures/H1/Temporal/Predictor_trends/predictor__temporal_trend__spd.png,not_applicable,figures/supplementary-figure-16-predictor-spd.png,registered
revision_predictor_temp_annual,predictor_trajectories,Annual temperature trajectory,predictor_temporal,03_temporal_models/07_figures/pipeline.R,file_predictor_temp_annual,Outputs/Figures/H1/Temporal/Predictor_trends/predictor__temporal_trend__annual_temperature.png,not_applicable,figures/supplementary-figure-17-predictor-temp-annual.png,registered
revision_predictor_temp_cold,predictor_trajectories,Coldest-month temperature trajectory,predictor_temporal,03_temporal_models/07_figures/pipeline.R,file_predictor_temp_cold,Outputs/Figures/H1/Temporal/Predictor_trends/predictor__temporal_trend__coldest_month_temperature.png,not_applicable,figures/supplementary-figure-18-predictor-temp-cold.png,registered
revision_predictor_prec_summer,predictor_trajectories,Summer precipitation trajectory,predictor_temporal,03_temporal_models/07_figures/pipeline.R,file_predictor_prec_summer,Outputs/Figures/H1/Temporal/Predictor_trends/predictor__temporal_trend__summer_precipitation.png,not_applicable,figures/supplementary-figure-19-predictor-prec-summer.png,registered
revision_predictor_prec_winter,predictor_trajectories,Winter precipitation trajectory,predictor_temporal,03_temporal_models/07_figures/pipeline.R,file_predictor_prec_winter,Outputs/Figures/H1/Temporal/Predictor_trends/predictor__temporal_trend__winter_precipitation.png,not_applicable,figures/supplementary-figure-20-predictor-prec-winter.png,registered
revision_event_trends,predictor_trajectories,Regional event chronology trajectory,event_temporal,03_temporal_models/07_figures/pipeline.R,file_event_trends,Outputs/Figures/Data/events__predicted_temporal_trends.png,not_applicable,figures/supplementary-figure-21-event-trajectories.png,registered
revision_hvar_profile_figure,hvarpart_profiles,HVarPart extraction-profile comparison,hvarpart_diagnostics,90_diagnostics/hvarpart/pipeline.R,file_hvarpart_profile_figure,Outputs/Figures/Diagnostics/HVarPart/hvarpart__hierarchical_profile_comparison.png,not_applicable,figures/supplementary-figure-22-hvarpart-profiles.png,registered
revision_hvar_r2_figure,hvarpart_fit,Adjusted R2 distribution,hvarpart_diagnostics,90_diagnostics/hvarpart/pipeline.R,file_hvarpart_r2_figure,Outputs/Figures/Diagnostics/HVarPart/hvarpart__spatial__adjusted_r2_distribution.png,not_applicable,figures/supplementary-figure-23-adjusted-r2.png,registered
revision_hvar_fit_importance,hvarpart_fit,Model fit versus human importance,hvarpart_diagnostics,90_diagnostics/hvarpart/pipeline.R,file_hvarpart_fit_importance,Outputs/Figures/Diagnostics/HVarPart/hvarpart__human_importance__adjusted_r2_overall.png,not_applicable,figures/supplementary-figure-24-fit-importance.png,registered
revision_h1_spatial_signed,h1_spatial,Signed counterpart to controlled spatial H1,spd_spatiotemporal_balance,02_h1_spatiotemporal_hvarpart/05_spatial_aggregation/spd_human_climate_balance/pipeline.R,file_h1_spatial_signed,Outputs/Figures/H1/Spatial/SPD/spd__human_climate_balance__untruncated_hierarchical_contribution_difference__time_and_space_control.png,not_applicable,figures/supplementary-figure-25-h1-spatial-signed.png,registered
revision_h1_temporal_signed,h1_temporal,Signed counterpart to controlled temporal H1,time_slice_spd_spatial_control,02_h1_spatiotemporal_hvarpart/04_spatial_control/spd/pipeline.R,file_h1_temporal_signed,Outputs/Figures/H1/Temporal/HVarPart/spd_events__human_climate_space__untruncated_hierarchical_contributions__space_control.png,not_applicable,figures/supplementary-figure-26-h1-temporal-signed.png,registered
revision_h2_signed,h2_interrelationships,Signed counterpart to H2,h2_interrelationships,05_h2_interrelationships/pipeline.R,file_h2_signed,Outputs/Figures/H2/Interrelationships/predictor_interrelationships_untruncated_hierarchical_contributions.png,not_applicable,figures/supplementary-figure-27-h2-signed.png,registered
revision_pollen_retention_figure,pollen_retention,Pollen retention and bias-coverage diagnostic,pollen_threshold_diagnostic,01_data_preparation/pollen_thresholds/pipeline.R,file_pollen_retention_figure,Outputs/Figures/Data/pollen__threshold_retention__overall.png,not_applicable,figures/supplementary-figure-28-pollen-retention.png,registered
revision_pap_collinearity_figure,pap_collinearity,PAP correlation diagnostic,pap_collinearity,91_sensitivity_analyses/pap_collinearity/pipeline.R,file_pap_collinearity_figure,Outputs/Figures/H1/Spatial/SPD/Predictor_collinearity/spd__pap_collinearity__hvarpart_influence.png,not_applicable,figures/supplementary-figure-29-pap-collinearity.png,registered
revision_pap_reduced_figure,pap_collinearity,Reduced-PAP H1 sensitivity,pap_collinearity,91_sensitivity_analyses/pap_collinearity/pipeline.R,file_pap_reduced_figure,Outputs/Figures/H1/Spatial/SPD/Predictor_collinearity/spd__human_climate_balance__reduced_predictors.png,not_applicable,figures/supplementary-figure-30-pap-reduced.png,registered
revision_moran_figure,reciprocal_controls,Moran sensitivity for controlled spatial H1,spd_spatiotemporal_balance,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_moran_figure,Outputs/Figures/H1/Spatial/SPD/Spatial_dependence/spd__human_climate_balance__moran_i__zero_truncated_hierarchical_composition__time_and_space_control.png,not_applicable,figures/supplementary-figure-31-moran.png,registered
revision_thinning_figure,reciprocal_controls,Spatial thinning sensitivity for controlled spatial H1,spd_spatiotemporal_balance,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_thinning_figure,Outputs/Figures/H1/Spatial/SPD/Spatial_dependence/spd__human_climate_balance__spatial_thinning__zero_truncated_hierarchical_composition__time_and_space_control.png,not_applicable,figures/supplementary-figure-32-thinning.png,registered
revision_leave_out_figure,reciprocal_controls,Leave-one-group-out H1 sensitivity,spd_spatiotemporal_balance,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_leave_out_figure,Outputs/Figures/H1/Spatial/SPD/Spatial_dependence/spd__human_climate_balance__leave_out.png,not_applicable,figures/supplementary-figure-33-leave-out.png,registered
revision_unique_figure,reciprocal_controls,Unique adjusted R2 fractions for temporal H1,spd_events_spatial_control,90_diagnostics/spatiotemporal_dependence/pipeline.R,file_unique_figure,Outputs/Figures/H1/Temporal/HVarPart/spd_events__human_climate_space__unique_adjusted_r2__space_control.png,not_applicable,figures/supplementary-figure-34-unique-r2.png,registered
revision_radius_spatial_figure,spd_radius,Strict-radius spatial comparison,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,file_radius_spatial_figure,Outputs/Figures/H1/Spatial/SPD/spd__radius_comparison__spatial_zero_truncated_human_climate_balance.png,not_applicable,figures/supplementary-figure-35-spd-radius-spatial.png,registered
revision_radius_temporal_figure,spd_radius,Strict-radius temporal profile comparison,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,file_radius_temporal_figure,Outputs/Figures/H1/Temporal/HVarPart/spd__radius_comparison__temporal_human__zero_truncated_hierarchical_composition__space_control.png,not_applicable,figures/supplementary-figure-36-spd-radius-temporal.png,registered
revision_radius_change_figure,spd_radius,Strict-radius temporal change comparison,spd_radius,91_sensitivity_analyses/spd_radius/pipeline.R,file_radius_change_figure,Outputs/Figures/H1/Temporal/HVarPart/spd__radius_comparison__temporal_human__zero_truncated_hierarchical_composition_change__space_control.png,not_applicable,figures/supplementary-figure-37-spd-radius-change.png,registered
revision_event_spatial_figure,event_sensitivity,Spatial SPD versus event inclusion comparison,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,file_event_spatial_figure,Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__spatial_zero_truncated_human_climate_balance.png,not_applicable,figures/supplementary-figure-38-event-spatial.png,registered
revision_event_temporal_figure,event_sensitivity,Temporal SPD versus event profile comparison,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,file_event_temporal_figure,Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__temporal_zero_truncated_human_share__space_control__all_data.png,not_applicable,figures/supplementary-figure-39-event-temporal.png,registered
revision_event_change_figure,event_sensitivity,Temporal SPD versus event change comparison,human_event_inclusion,91_sensitivity_analyses/human_event_inclusion/pipeline.R,file_event_change_figure,Outputs/Figures/H1/Sensitivity/Human_event_inclusion/events__inclusion_comparison__temporal_zero_truncated_human_share_change__space_control__all_data.png,not_applicable,figures/supplementary-figure-40-event-change.png,registered
